ID,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,ACUSADO,FECHA_y,AAAA_y,MM_y,DD_y,ROL,VICTIMA_y,SEXO,EDAD
2016-0140,2,AV JURAMENTO Y VUELTA DE OBLIGADO,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS,10/31/2016,2016,10,31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20
2016-0142,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,AVENIDA,1,-58.37533517,-34.59276462,PASAJEROS,11/5/2016,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46
2016-0143,4,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,AUTO,11/6/2016,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35
2016-0144,12,AV. ALTE. BROWN 984,AVENIDA,4,-58.35975012,-34.63343907,PASAJEROS,11/7/2016,2016,11,7,PEATON,PEATON,MASCULINO,83
2016-0145,20,AV DEL LIBERTADOR Y LA PAMPA,AVENIDA,13,-58.44523595,-34.55953855,AUTO,11/7/2016,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39
2016-0146,20,PICHINCHA Y AV BRASIL,AVENIDA,4,-58.39626094,-34.63036565,PASAJEROS,11/9/2016,2016,11,9,PEATON,PEATON,FEMENINO,29
2016-0147,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,-58.38896772,-34.61799615,PASAJEROS,11/16/2016,2016,11,16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55
2016-0148,22,AV GARMENDIA 4895,AVENIDA,15,-58.46536113,-34.59484504,MOTO,11/16/2016,2016,11,16,CONDUCTOR,MOTO,MASCULINO,30
2016-0150,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,AVENIDA,4,-58.40879146,-34.65273216,CARGAS,11/18/2016,2016,11,18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41
2016-0151,20,AV 27 DE FEBRERO Y AV ESCALADA,CALLE,0,-58.441664463445676,-34.61969973512046,AUTO,11/18/2016,2016,11,18,PEATON,PEATON,MASCULINO,30
2016-0152,21,AV PERITO MORENO Y ZUVIRIA,AVENIDA,7,-58.46451841,-34.64991946,AUTO,11/23/2016,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42
2016-0153,15,ARAOZ Y AV CORDOBA,AVENIDA,15,-58.4291709,-34.59485488,MOTO,11/25/2016,2016,11,25,PEATON,PEATON,FEMENINO,83
2016-0154,14,AV GRAL PAZ 15200,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO,11/26/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38
2016-0155,16,MADERO 900,CALLE,10,-58.52756365,-34.62772274,AUTO,11/26/2016,2016,11,26,PEATON,PEATON,FEMENINO,29
2016-0156,19,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,3,-58.40638983,-34.61943202,PASAJEROS,11/26/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23
2016-0157,6,AV JUAN B JUSTO 5645,AVENIDA,11,-58.47576807,-34.61740997,MOTO,12/3/2016,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23
2016-0159,7,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,AUTO,12/4/2016,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23
2016-0160,5,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,9,-58.51927194,-34.63635787,OBJETO FIJO,12/6/2016,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29
2016-0161,7,AV SANTA FE Y GODOY CRUZ,AVENIDA,14,-58.42525456,-34.57866344,PASAJEROS,12/6/2016,2016,12,6,PEATON,PEATON,MASCULINO,50
2016-0162,5,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,15,-58.45396573,-34.58518167,AUTO,12/7/2016,2016,12,7,PEATON,PEATON,MASCULINO,38
2016-0163,7,AV GRAL PAZ Y AV GENERAL MOSCONI,GRAL PAZ,11,-58.52340614,-34.59798754,AUTO,12/10/2016,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23
2016-0164,6,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,-58.42323628,-34.64119105,AUTO,12/11/2016,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29
2016-0165,8,AV MARTIN GARCIA 300,AVENIDA,4,-58.36926144,-34.62841919,PASAJEROS,12/12/2016,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37
2016-0168,10,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,-58.42323628,-34.64119105,AUTO,12/13/2016,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43
